Species,Occurance
Cinclodes_olrogi,A
Xiphorhynchus_elegans,B
Amazona_oratrix,A
Pyrilia_aurantiocephala,B
Caracara_cheriway,B
Cariama_cristata,B
Chunga_burmeisteri,B
Urocolius_macrourus,B
Ramphastos_swainsonii,A
Todiramphus_recurvirostris,A
Penelopides_samarensis,A
Trogon_aurantiiventris,A
Otus_siaoensis,A
Hieraaetus_weiskei,A
Gygis_microrhyncha,A
Caprimulgus_heterurus,A
Butorides_virescens,A
Threskiornis_bernieri,A
Pelecanus_thagus,A
Anhinga_novaehollandiae,B
Leptoptilos_crumeniferus,B
Thalassarche_carteri,B
Eudyptes_moseleyi,B
Crinifer_zonurus,B
Houbaropsis_bengalensis,B
Eudynamys_orientalis,B
Aechmophorus_occidentalis,B
Pterocles_lichtensteinii,B
Phaethon_rubricauda,B
Ducula_subflavescens,A
Phapitreron_brunneiceps,A
Mesitornis_unicolor,A
Dendragapus_fuliginosus,A
Anas_eatoni,A
Casuarius_unappendiculatus,A
Apteryx_mantelli,A
Rhea_americana,A
Struthio_camelus,A
