Species,Occurance
Cinclodes_olrogi,B
Xiphorhynchus_elegans,B
Amazona_oratrix,A
Pyrilia_aurantiocephala,B
Caracara_cheriway,A
Cariama_cristata,B
Chunga_burmeisteri,B
Urocolius_macrourus,B
Ramphastos_swainsonii,B
Todiramphus_recurvirostris,B
Penelopides_samarensis,B
Trogon_aurantiiventris,B
Otus_siaoensis,B
Hieraaetus_weiskei,A
Gygis_microrhyncha,B
Caprimulgus_heterurus,B
Butorides_virescens,B
Threskiornis_bernieri,A
Pelecanus_thagus,B
Anhinga_novaehollandiae,B
Leptoptilos_crumeniferus,A
Thalassarche_carteri,B
Eudyptes_moseleyi,B
Crinifer_zonurus,B
Houbaropsis_bengalensis,B
Eudynamys_orientalis,B
Aechmophorus_occidentalis,B
Pterocles_lichtensteinii,B
Phaethon_rubricauda,B
Ducula_subflavescens,A
Phapitreron_brunneiceps,A
Mesitornis_unicolor,B
Dendragapus_fuliginosus,A
Anas_eatoni,A
Casuarius_unappendiculatus,B
Apteryx_mantelli,B
Rhea_americana,B
Struthio_camelus,A
